Datetime,Water Level (m)
2024-10-08 12:00:00,0.4528091
2024-10-08 13:00:00,0.5257769
2024-10-08 14:00:00,0.51583725
2024-10-08 15:00:00,0.42538524
2024-10-08 16:00:00,0.30202588
2024-10-08 17:00:00,0.1749468
2024-10-08 18:00:00,0.045499675
2024-10-08 19:00:00,-0.068695985
2024-10-08 20:00:00,-0.11445598
2024-10-08 21:00:00,-0.046160143
2024-10-08 22:00:00,0.11806178
2024-10-08 23:00:00,0.3148087
2024-10-09 00:00:00,0.4966719
2024-10-09 01:00:00,0.6422109
2024-10-09 02:00:00,0.7079759
2024-10-09 03:00:00,0.6804306
2024-10-09 04:00:00,0.592
2024-10-09 05:00:00,0.47706097
2024-10-09 06:00:00,0.35585192
2024-10-09 07:00:00,0.24011649
2024-10-09 08:00:00,0.15349992
2024-10-09 09:00:00,0.15331532
2024-10-09 10:00:00,0.21395081
2024-10-09 11:00:00,0.31322375
2024-10-09 12:00:00,0.40755844
2024-10-09 13:00:00,0.47670576
2024-10-09 14:00:00,0.50810546
2024-10-09 15:00:00,0.4826694
2024-10-09 16:00:00,0.41123813
2024-10-09 17:00:00,0.32260475
2024-10-09 18:00:00,0.21968594
2024-10-09 19:00:00,0.108176515
2024-10-09 20:00:00,0.02665898
2024-10-09 21:00:00,0.03464658
2024-10-09 22:00:00,0.12786959
2024-10-09 23:00:00,0.2875451
2024-10-10 00:00:00,0.43430042
2024-10-10 01:00:00,0.5697122
2024-10-10 02:00:00,0.6797793
2024-10-10 03:00:00,0.7228531
2024-10-10 04:00:00,0.6919792
2024-10-10 05:00:00,0.6193665
2024-10-10 06:00:00,0.5253292
2024-10-10 07:00:00,0.42086563
2024-10-10 08:00:00,0.31645304
2024-10-10 09:00:00,0.23989455
2024-10-10 10:00:00,0.22738814
2024-10-10 11:00:00,0.26375479
2024-10-10 12:00:00,0.3199014
2024-10-10 13:00:00,0.38002732
2024-10-10 14:00:00,0.424072
2024-10-10 15:00:00,0.44084546
2024-10-10 16:00:00,0.41821593
2024-10-10 17:00:00,0.3628137
2024-10-10 18:00:00,0.2979726
2024-10-10 19:00:00,0.2174467
2024-10-10 20:00:00,0.13149701
2024-10-10 21:00:00,0.07333093
2024-10-10 22:00:00,0.08598513
2024-10-10 23:00:00,0.1680548
2024-10-11 00:00:00,0.29665565
2024-10-11 01:00:00,0.42058018
2024-10-11 02:00:00,0.5357253
2024-10-11 03:00:00,0.6412461
2024-10-11 04:00:00,0.697819
2024-10-11 05:00:00,0.68913305
2024-10-11 06:00:00,0.6376801
2024-10-11 07:00:00,0.56436193
2024-10-11 08:00:00,0.47398975
2024-10-11 09:00:00,0.37727073
2024-10-11 10:00:00,0.2868445
2024-10-11 11:00:00,0.22576226
2024-10-11 12:00:00,0.2181753
2024-10-11 13:00:00,0.2420797
2024-10-11 14:00:00,0.28503615
2024-10-11 15:00:00,0.34628108
2024-10-11 16:00:00,0.40173933
2024-10-11 17:00:00,0.41998348
2024-10-11 18:00:00,0.3988073
2024-10-11 19:00:00,0.351388
2024-10-11 20:00:00,0.2919235
2024-10-11 21:00:00,0.21825731
2024-10-11 22:00:00,0.14532082
2024-10-11 23:00:00,0.11285433
2024-10-12 00:00:00,0.14928205
2024-10-12 01:00:00,0.23496602
2024-10-12 02:00:00,0.36025098
2024-10-12 03:00:00,0.4833557
2024-10-12 04:00:00,0.6018133
2024-10-12 05:00:00,0.69878435
2024-10-12 06:00:00,0.73497033
2024-10-12 07:00:00,0.70948994
2024-10-12 08:00:00,0.6402208
2024-10-12 09:00:00,0.5483296
2024-10-12 10:00:00,0.43933424
2024-10-12 11:00:00,0.32417986
2024-10-12 12:00:00,0.22311108
2024-10-12 13:00:00,0.16760406
2024-10-12 14:00:00,0.19193274
2024-10-12 15:00:00,0.25605226
2024-10-12 16:00:00,0.35907185
2024-10-12 17:00:00,0.4599418
2024-10-12 18:00:00,0.5312238
2024-10-12 19:00:00,0.5518448
2024-10-12 20:00:00,0.5208722
2024-10-12 21:00:00,0.45607558
2024-10-12 22:00:00,0.37216535
2024-10-12 23:00:00,0.2765382
2024-10-13 00:00:00,0.17832717
2024-10-13 01:00:00,0.13208862
2024-10-13 02:00:00,0.18443857
2024-10-13 03:00:00,0.30711597
2024-10-13 04:00:00,0.47411424
2024-10-13 05:00:00,0.6233828
2024-10-13 06:00:00,0.7508262
2024-10-13 07:00:00,0.81690496
2024-10-13 08:00:00,0.801842
2024-10-13 09:00:00,0.7242905
2024-10-13 10:00:00,0.619058
2024-10-13 11:00:00,0.49655744
2024-10-13 12:00:00,0.3636292
2024-10-13 13:00:00,0.23701857
2024-10-13 14:00:00,0.15049468
2024-10-13 15:00:00,0.18264693
2024-10-13 16:00:00,0.2787495
2024-10-13 17:00:00,0.44042245
2024-10-13 18:00:00,0.58922976
2024-10-13 19:00:00,0.7009674
2024-10-13 20:00:00,0.7405828
2024-10-13 21:00:00,0.7040858
2024-10-13 22:00:00,0.61885846
2024-10-13 23:00:00,0.5104196
2024-10-14 00:00:00,0.38589925
2024-10-14 01:00:00,0.25937983
2024-10-14 02:00:00,0.15598193
2024-10-14 03:00:00,0.17490214
2024-10-14 04:00:00,0.2863479
2024-10-14 05:00:00,0.48317325
2024-10-14 06:00:00,0.6710166
2024-10-14 07:00:00,0.8233947
2024-10-14 08:00:00,0.90257066
2024-10-14 09:00:00,0.880747
2024-10-14 10:00:00,0.7932101
2024-10-14 11:00:00,0.6724993
2024-10-14 12:00:00,0.53161484
